"STATISTIC","Statistic Label","TLIST(A1)","Year","C03788V04538","County","C02665V03225","NACE Rev 2 Economic Sector","UNIT","VALUE"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1453-13a3-e055-000000000001","Co. Galway","Q","Human health and social work activities (Q)","Euro","39173"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1453-13a3-e055-000000000001","Co. Galway","Y0900","Industry (B to E)","Euro","40041"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1453-13a3-e055-000000000001","Co. Galway","Y3500","Financial, insurance and real estate activities (K,L)","Euro","43620"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1453-13a3-e055-000000000001","Co. Galway","Y7400","Arts, entertainment, recreation and other service activities (R,S)","Euro","24317"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","-","All NACE economic sectors","Euro","42084"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","F","Construction (F)","Euro","41861"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","33092"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","H","Transportation and storage (H)","Euro","41018"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","I","Accommodation and food service activities (I)","Euro","20832"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","J","Information and communication (J)","Euro","60095"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","M","Professional, scientific and technical activities (M)","Euro","45787"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","N","Administrative and support service activities (N)","Euro","32034"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","O","Public administration and defence; compulsory social security (O)","Euro","51456"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","P","Education (P)","Euro","49699"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","Q","Human health and social work activities (Q)","Euro","36993"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","Y0900","Industry (B to E)","Euro","49429"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","Y3500","Financial, insurance and real estate activities (K,L)","Euro","54677"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1455-13a3-e055-000000000001","Co. Kildare","Y7400","Arts, entertainment, recreation and other service activities (R,S)","Euro","28467"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","-","All NACE economic sectors","Euro","36856"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","F","Construction (F)","Euro","37615"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","26138"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1456-13a3-e055-000000000001","Co. Kilkenny","H","Transportation and storage (H)","Euro","32050"
